Age,C/N,d13C,d15N,TC,Bsi,MS
"6,983.00",7.92,-20.67,2.01,0.66,30.43,112.39
"7,003.00",8.09,-21.88,2.01,0.93,31.04,103.13
"7,023.00",8.27,-23.44,2.04,1.44,31.65,95.27
"7,043.00",8.29,-23.73,2.17,2.35,32.25,88.73
"7,063.00",8.29,-23.8,2.32,3.21,32.8,83.6
"7,083.00",8.29,-23.87,2.46,3.35,32.96,80.75
"7,103.00",8.27,-23.92,2.57,3.38,33.06,77.13
"7,123.00",8.14,-23.85,2.4,3.46,33.16,74.82
"7,143.00",8,-23.77,2.18,3.53,33.26,72.98
"7,163.00",8.04,-23.76,2.15,3.42,33.36,71.86
"7,183.00",8.12,-23.77,2.18,3.26,33.46,71.06
"7,203.00",8.08,-23.63,2.18,3.16,33.56,71
"7,223.00",7.98,-23.43,2.16,3.08,33.67,71
"7,243.00",7.98,-23.38,2.16,3.1,33.77,71
"7,263.00",8.04,-23.44,2.18,3.21,33.87,71.22
"7,283.00",8.1,-23.5,2.2,3.34,33.71,71.94
"7,303.00",8.17,-23.56,2.22,3.51,33.15,72
"7,323.00",8.2,-23.55,2.26,3.6,32.58,71.81
"7,343.00",8.13,-23.29,2.34,3.44,32.02,71.08
"7,363.00",8.06,-23.04,2.4,3.27,31.46,71
"7,383.00",8.15,-23.21,2.28,3.26,30.9,71.13
"7,403.00",8.28,-23.48,2.1,3.3,30.33,71.87
"7,423.00",8.24,-23.51,2.02,3.47,29.77,72
"7,443.00",8.08,-23.36,2.01,3.76,29.21,72.05
"7,463.00",7.98,-23.25,1.99,3.77,28.64,72.79
"7,483.00",8.04,-23.24,1.97,3.06,28.08,73.68
"7,502.00",8.11,-23.24,1.95,2.38,27.59,73.36
"7,522.00",8.17,-23.23,1.93,2.68,28.02,72.43
"7,542.00",8.24,-23.22,1.9,3.3,28.75,72
"7,562.00",8.29,-23.2,1.91,3.63,29.48,71.23
"7,582.00",8.32,-23.14,1.95,3.51,30.21,69.72
"7,602.00",8.34,-23.1,1.99,3.4,30.94,68.81
"7,622.00",8.3,-23.18,2.06,3.43,31.67,67.93
"7,642.00",8.24,-23.28,2.14,3.5,32.4,67.13
"7,662.00",8.2,-23.34,2.21,3.56,33.12,66.97
"7,682.00",8.18,-23.32,2.27,3.58,33.85,66.33
"7,702.00",8.17,-23.3,2.34,3.61,34.58,65.49
"7,722.00",8.12,-23.25,2.39,3.58,35.31,65
"7,742.00",8.06,-23.19,2.44,3.53,36.04,64.59
"7,762.00",8,-23.13,2.48,3.48,36.7,62.99
"7,782.00",7.94,-23.07,2.53,3.52,36.28,61.05
"7,802.00",7.88,-23.01,2.58,3.59,35.5,72.19
"7,822.00",7.83,-22.97,2.61,3.65,34.72,90.65
"7,842.00",7.85,-23.28,2.56,3.65,33.94,109.11
"7,862.00",7.9,-23.7,2.46,3.62,33.16,127.57
"7,882.00",7.94,-24.12,2.37,3.59,32.38,146.04
"7,902.00",8.05,-24.34,2.34,3.6,31.6,164.5
"7,922.00",8.2,-24.44,2.35,3.64,30.82,182.96
"7,942.00",8.35,-24.55,2.36,3.67,30.04,201.54
"7,962.00",8.41,-24.55,2.35,3.67,29.26,222.7
"7,982.00",8.36,-24.42,2.34,3.62,28.48,241.6
"8,002.00",8.3,-24.28,2.32,3.56,27.7,254.38
