Age,C/N,d13C,d15N,TC,Bsi,MS
"5,684.00",7.31,-19.5,-0.38,3.71,131.5,93.29
"5,704.00",7.31,-19.5,-0.38,3.73,129.5,54.73
"5,724.00",7.3,-19.5,-0.39,3.75,127.2,35.12
"5,744.00",7.29,-19.5,-0.39,3.78,124.5,25.61
"5,764.00",7.29,-19.5,-0.39,3.79,122.5,24.51
"5,784.00",7.29,-19.47,-0.4,3.8,120.5,23.79
"5,804.00",7.29,-19.4,-0.4,3.81,118.5,18.89
"5,824.00",7.29,-19.4,-0.4,3.83,116.5,14.3
"5,844.00",7.29,-19.4,-0.41,3.84,114.2,12.71
"5,864.00",7.29,-19.4,-0.41,3.85,111.5,12.16
"5,884.00",7.29,-19.4,-0.42,3.86,109.5,12.23
"5,904.00",7.29,-19.4,-0.42,3.88,108.3,11.8
"5,924.00",7.29,-19.4,-0.42,3.89,109,10.28
"5,944.00",7.29,-19.4,-0.43,3.9,109.3,8.87
"5,964.00",7.29,-19.4,-0.43,3.91,110,7.99
"5,984.00",7.29,-19.4,-0.44,3.93,110.3,7.2
"6,004.00",7.29,-19.4,-0.44,3.94,111,6.52
"6,024.00",7.29,-19.4,-0.44,3.95,111.3,6.28
"6,044.00",7.3,-19.4,-0.45,3.97,112,6.65
"6,064.00",7.35,-19.37,-0.47,4.02,112.3,6.95
"6,084.00",7.47,-19.3,-0.52,4.11,113,7.11
"6,104.00",7.59,-19.27,-0.56,4.21,113.3,7.66
"6,124.00",7.71,-19.2,-0.61,4.31,114,8.94
"6,144.00",7.84,-19.17,-0.65,4.4,114.3,11.29
"6,164.00",7.96,-19.1,-0.7,4.5,115,13.69
"6,184.00",8.08,-19.07,-0.74,4.6,115.3,13.16
"6,204.00",8.2,-18.98,-0.79,4.7,116.2,10.95
"6,224.00",8.32,-18.9,-0.84,4.79,117.2,9.32
"6,244.00",8.45,-18.87,-0.88,4.89,118.2,8.21
"6,264.00",8.57,-18.8,-0.93,4.99,119.2,7.66
"6,284.00",8.69,-18.77,-0.97,5.08,120.5,7.5
"6,304.00",8.81,-18.7,-1.02,5.18,122.2,7.8
"6,324.00",8.93,-18.67,-1.07,5.28,123.2,8.55
"6,344.00",9.04,-18.6,-1.11,5.37,124.2,9.92
"6,364.00",9.07,-18.63,-1.12,5.4,125.2,11.14
"6,384.00",8.96,-18.72,-1.07,5.32,126.5,11.87
"6,404.00",8.83,-18.82,-1.01,5.23,128.2,12.23
"6,424.00",8.71,-18.92,-0.96,5.14,129.2,12.22
"6,444.00",8.58,-19.02,-0.91,5.05,130.2,12.45
"6,464.00",8.46,-19.12,-0.85,4.96,131.2,12.99
"6,483.00",8.33,-19.22,-0.8,4.87,132.4,13.54
"6,503.00",8.2,-19.32,-0.75,4.78,133.9,14.07
"6,523.00",8.08,-19.42,-0.69,4.69,134,14.52
"6,543.00",7.95,-19.52,-0.64,4.6,134,15.14
"6,563.00",7.83,-19.62,-0.59,4.51,134,16.35
"6,583.00",7.7,-19.72,-0.53,4.42,134.2,16.82
"6,603.00",7.58,-19.82,-0.48,4.33,135,14.57
